Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,axes_0,axes_1,axes_2,axes_3,axes_4,axes_5,axes_6,axes_7,buttons_0,buttons_1,buttons_2,buttons_3,buttons_4,buttons_5,buttons_6,buttons_7,buttons_8,buttons_9,buttons_10
1636570667.2189329,63634,1636570667,218816594,joystick,0.0,-6.103701889514923e-05,-1.0,0.0,-0.8774986863136292,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570667.234987,63635,1636570667,234819174,joystick,0.0,-6.103701889514923e-05,-1.0,0.0,-0.9407330751419067,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570667.2511485,63636,1636570667,251023443,joystick,0.0,-6.103701889514923e-05,-1.0,0.0,-0.9881588220596313,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570667.2678378,63637,1636570667,267688140,joystick,-0.0395825058221817,-6.103701889514923e-05,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570667.2846353,63638,1636570667,284381270,joystick,-0.1818597912788391,-6.103701889514923e-05,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570667.3030367,63639,1636570667,302857533,joystick,-0.2846156060695648,-6.103701889514923e-05,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570667.3189442,63640,1636570667,318813350,joystick,-0.3715933859348297,-6.103701889514923e-05,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570667.334988,63641,1636570667,334827079,joystick,-0.4348277151584625,0.0474257655441761,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570667.3511746,63642,1636570667,351028457,joystick,-0.5138706564903259,0.0474257655441761,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570667.3678453,63643,1636570667,367701978,joystick,-0.6008179187774658,0.0474257655441761,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570667.384552,63644,1636570667,384385606,joystick,-0.7273170948028564,0.0474257655441761,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570667.4030397,63645,1636570667,402848944,joystick,-0.869594395160675,0.0474257655441761,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1636570667.419032,63646,1636570667,418859562,joystick,-0.9802545309066772,0.0474257655441761,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
